ts_utc,open,high,low,close,vol
2026-09-06T07:01:00Z,4436.84,4436.84,4436.84,4436.84,0.0045
2026-09-06T07:02:00Z,4436.84,4437.04,4436.84,4437.04,0.169
2026-09-06T07:03:00Z,4437.04,4437.04,4437.04,4437.04,0
2026-09-06T07:04:00Z,4437.04,4437.04,4437.04,4437.04,0
2026-09-06T07:05:00Z,4437.04,4437.04,4437.04,4437.04,0
2026-09-06T07:06:00Z,4437.04,4437.04,4437.04,4437.04,0
2026-09-06T07:07:00Z,4437.04,4437.04,4437.04,4437.04,0
2026-09-06T07:08:00Z,4436.69,4437.16,4436.68,4437.16,2.8439
2026-09-06T07:09:00Z,4437.16,4437.16,4436.51,4436.51,0.2366
2026-09-06T07:10:00Z,4436.51,4436.51,4436.51,4436.51,0
2026-09-06T07:11:00Z,4436.57,4437.66,4436.57,4437.53,21.682499999999997
2026-09-06T07:12:00Z,4437.53,4438.13,4437.42,4437.84,5.5353
2026-09-06T07:13:00Z,4437.84,4437.84,4436.47,4437.08,1.239
2026-09-06T07:14:00Z,4437.08,4437.08,4436.91,4436.91,0.169
2026-09-06T07:15:00Z,4436.91,4436.91,4436.79,4436.83,0.5207
2026-09-06T07:16:00Z,4436.83,4437.51,4436.62,4437.34,0.7948999999999999
2026-09-06T07:17:00Z,4437.34,4437.37,4436.27,4436.27,11.1802
2026-09-06T07:18:00Z,4436.27,4436.79,4436.27,4436.62,1.6994
2026-09-06T07:19:00Z,4436.62,4436.62,4436.57,4436.57,0.0811
2026-09-06T07:20:00Z,4436.57,4436.57,4436.57,4436.57,0
2026-09-06T07:21:00Z,4436.19,4436.19,4436.19,4436.19,0.476
2026-09-06T07:22:00Z,4436.19,4436.24,4436.13,4436.13,0.7992
2026-09-06T07:23:00Z,4436.13,4436.32,4435.87,4436.18,1.0243
2026-09-06T07:24:00Z,4436.18,4436.34,4436.15,4436.15,0.2615
2026-09-06T07:25:00Z,4436.15,4436.15,4436.15,4436.15,0
2026-09-06T07:26:00Z,4435.54,4435.54,4434.77,4435,7.2149
2026-09-06T07:27:00Z,4435,4435.29,4434.61,4434.95,1.5496
2026-09-06T07:28:00Z,4434.95,4435.11,4434.82,4434.82,0.1339
2026-09-06T07:29:00Z,4434.82,4434.82,4434.82,4434.82,0
2026-09-06T07:30:00Z,4433.87,4434.12,4433.87,4434.12,0.3697
2026-09-06T07:31:00Z,4434.12,4434.12,4434.12,4434.12,0
2026-09-06T07:32:00Z,4433.57,4433.57,4433.57,4433.57,0.0087
2026-09-06T07:33:00Z,4433.57,4433.9,4433.57,4433.9,0.004
2026-09-06T07:34:00Z,4433.9,4433.97,4433.54,4433.54,1.0253
2026-09-06T07:35:00Z,4433.54,4433.54,4433.54,4433.54,0
2026-09-06T07:36:00Z,4433.54,4433.54,4433.54,4433.54,0
2026-09-06T07:37:00Z,4434.12,4434.28,4434.04,4434.28,2.71
2026-09-06T07:38:00Z,4434.28,4434.34,4434.28,4434.34,0.1051
2026-09-06T07:39:00Z,4434.34,4434.35,4433.48,4433.54,1.1273
2026-09-06T07:40:00Z,4433.54,4433.54,4433.54,4433.54,0
2026-09-06T07:41:00Z,4433.43,4433.43,4433.43,4433.43,0.1691
2026-09-06T07:42:00Z,4433.43,4433.43,4429.35,4430.45,13.4038
2026-09-06T07:43:00Z,4430.45,4430.52,4429.73,4430.22,1.7441
2026-09-06T07:44:00Z,4430.22,4430.51,4430.22,4430.35,0.5095
2026-09-06T07:45:00Z,4430.35,4430.35,4430.08,4430.14,1.0846
2026-09-06T07:46:00Z,4430.14,4431.65,4430.14,4431.05,1.2458
2026-09-06T07:47:00Z,4431.05,4431.38,4430.67,4430.67,0.1782
2026-09-06T07:48:00Z,4430.67,4430.67,4430.67,4430.67,0
2026-09-06T07:49:00Z,4430.72,4430.73,4430.36,4430.36,1.9134
2026-09-06T07:50:00Z,4430.36,4430.61,4430.36,4430.61,0.0214
