ts_utc,venue,kind,symbol,mark,index,last,bid,ask,funding,funding_unit,oi,src_ts
2026-09-12T19:51:55Z,binance,perp,XAUTUSDT,4348.61000000,4350.89956649,,4348.60,4348.61,0.00002154,per_8h,,1789242715000
2026-09-12T19:51:55Z,bybit,perp,XAUTUSDT,4349.80,4351.35,4349.80,4349.70,4349.80,0.00005,per_8h,112832019.88,1789243200000
2026-09-12T19:51:56Z,bitget,perp,XAUTUSDT,,,4348.8,4348.79,4348.8,,,,1789242716165
2026-09-12T19:51:56Z,bingx,perp,XAUT-USDT,,,4349.51,,,,,,1789242715000
2026-09-12T19:51:56Z,lighter,perp,XAU,4356.35,4356.82,4356.3,,,,,4217.3016,
2026-09-12T19:51:56Z,lighter,funding,XAU,,,,,,3.2e-05,per_8h,,
2026-09-12T19:51:57Z,hyperliquid,perp,PAXG,4355.95,,,4355.9,4356.0,,,,1789242716602
2026-09-12T19:51:57Z,variational,perp,XAU,4357.628906699198,,,4356.87,4358.21,0,annualized_decimal,24403647.956899126463190720000,2026-09-12T19:50:27.875229687Z
2026-09-12T19:51:57Z,variational,perp,XAUT,4349.554270057847,,,4348.32,4350.78,0.109500,annualized_decimal,20505123.178080182860728720000,2026-09-12T19:50:31.603831216Z
2026-09-12T19:52:10Z,binance,perp,XAUTUSDT,4348.61000000,4350.89976248,,4348.60,4348.61,0.00002102,per_8h,,1789242729000
2026-09-12T19:52:10Z,bybit,perp,XAUTUSDT,4349.80,4351.35,4349.80,4349.70,4349.80,0.00005,per_8h,112831028.13,1789243200000
2026-09-12T19:52:11Z,bitget,perp,XAUTUSDT,,,4348.8,4348.84,4348.85,,,,1789242730888
2026-09-12T19:52:11Z,bingx,perp,XAUT-USDT,,,4349.53,,,,,,1789242729000
2026-09-12T19:52:11Z,lighter,perp,XAU,4356.33,4356.81,4356.3,,,,,4217.3016,
2026-09-12T19:52:11Z,lighter,funding,XAU,,,,,,3.2e-05,per_8h,,
2026-09-12T19:52:11Z,hyperliquid,perp,PAXG,4355.95,,,4355.9,4356.0,,,,1789242731031
2026-09-12T19:52:11Z,variational,perp,XAU,4357.628906699198,,,4356.87,4358.21,0,annualized_decimal,24403647.956899126463190720000,2026-09-12T19:51:23.132771644Z
2026-09-12T19:52:11Z,variational,perp,XAUT,4349.554270057847,,,4348.32,4350.78,0.109500,annualized_decimal,20505123.178080182860728720000,2026-09-12T19:51:40.082709215Z
2026-09-12T19:53:10Z,binance,perp,XAUTUSDT,4348.61000000,4350.89684434,,4348.60,4348.61,0.00002051,per_8h,,1789242789001
2026-09-12T19:53:10Z,bybit,perp,XAUTUSDT,4349.80,4351.35,4349.80,4349.70,4349.80,0.00005,per_8h,112831202.12,1789243200000
2026-09-12T19:53:10Z,bitget,perp,XAUTUSDT,,,4348.8,4348.79,4348.8,,,,1789242790464
2026-09-12T19:53:10Z,bingx,perp,XAUT-USDT,,,4349.53,,,,,,1789242788000
2026-09-12T19:53:11Z,lighter,perp,XAU,4356.29,4356.79,4356.27,,,,,4217.3527,
2026-09-12T19:56:20Z,binance,perp,XAUTUSDT,4348.60000000,4350.87335368,,4348.60,4348.61,0.00001951,per_8h,,1789242979000
2026-09-12T19:56:20Z,bybit,perp,XAUTUSDT,4349.80,4351.35,4349.80,4349.70,4349.80,0.00005,per_8h,112831628.40,1789243200000
2026-09-12T19:56:20Z,bitget,perp,XAUTUSDT,,,4348.8,4348.38,4348.39,,,,1789242980419
2026-09-12T19:56:20Z,bingx,perp,XAUT-USDT,,,4349.53,,,,,,1789242977000
2026-09-12T19:56:21Z,lighter,perp,XAU,4355.90,4356.70,4355.62,,,,,4217.0085,
2026-09-12T19:56:21Z,lighter,funding,XAU,,,,,,3.2e-05,per_8h,,
2026-09-12T19:56:21Z,hyperliquid,perp,PAXG,4355.95,,,4355.9,4356.0,,,,1789242981366
2026-09-12T19:56:21Z,variational,perp,XAU,4357.538910749016,,,4356.04,4357.38,0,annualized_decimal,24401779.394743526684702480000,2026-09-12T19:55:42.162713932Z
2026-09-12T19:56:21Z,variational,perp,XAUT,4349.554270057847,,,4348.32,4350.78,0.109500,annualized_decimal,20505028.931334088782754320000,2026-09-12T19:55:43.735953403Z
2026-09-12T19:57:20Z,binance,perp,XAUTUSDT,4348.61000000,4350.87522336,,4348.60,4348.61,0.00001951,per_8h,,1789243039000
2026-09-12T19:57:20Z,bybit,perp,XAUTUSDT,4349.80,4351.35,4349.80,4349.70,4349.80,0.00005,per_8h,112831802.39,1789243200000
2026-09-12T19:57:20Z,bitget,perp,XAUTUSDT,,,4348.8,4348.38,4348.39,,,,1789243040464
2026-09-12T19:57:20Z,bingx,perp,XAUT-USDT,,,4349.51,,,,,,1789243038000
2026-09-12T19:57:21Z,lighter,perp,XAU,4355.75,4356.66,4355.51,,,,,4217.0085,
2026-09-12T19:58:20Z,binance,perp,XAUTUSDT,4348.61000000,4350.85778330,,4348.60,4348.61,0.00001904,per_8h,,1789243100000
2026-09-12T19:58:20Z,bybit,perp,XAUTUSDT,4349.80,4351.35,4349.80,4349.70,4349.80,0.00005,per_8h,112831976.38,1789243200000
2026-09-12T19:58:21Z,bitget,perp,XAUTUSDT,,,4348.8,4348.38,4348.39,,,,1789243100942
2026-09-12T19:58:21Z,bingx,perp,XAUT-USDT,,,4349.53,,,,,,1789243100000
2026-09-12T19:58:21Z,lighter,perp,XAU,4355.66,4356.63,4355.34,,,,,4217.0054,
2026-09-12T19:59:20Z,binance,perp,XAUTUSDT,4348.60286964,4350.86182615,,4348.60,4348.61,0.00001859,per_8h,,1789243159005
2026-09-12T19:59:20Z,bybit,perp,XAUTUSDT,4349.80,4351.42,4349.80,4349.70,4349.80,0.00005,per_8h,112832150.38,1789243200000
2026-09-12T19:59:20Z,bitget,perp,XAUTUSDT,,,4348.39,4348.38,4348.39,,,,1789243160537
2026-09-12T19:59:20Z,bingx,perp,XAUT-USDT,,,4349.51,,,,,,1789243157000
2026-09-12T19:59:21Z,lighter,perp,XAU,4355.51,4356.58,4355.11,,,,,4216.6152,
2026-09-12T20:00:20Z,binance,perp,XAUTUSDT,4348.62075950,4350.88587434,,4348.60,4348.61,0.00001815,per_8h,,1789243219000
2026-09-12T20:00:20Z,bybit,perp,XAUTUSDT,4349.80,4351.43,4349.80,4349.70,4349.80,0.00005,per_8h,112811332.23,1789257600000
2026-09-12T20:00:20Z,bitget,perp,XAUTUSDT,,,4348.39,4348.5,4348.51,,,,1789243220629
